zip,zone,lat,lon
02472,5b,42.36,-71.17
02481,5b,42.31,-71.27
02482,5b,42.3,-71.28
02493,5b,42.36,-71.26
02184,5b,42.2,-71
02186,5b,42.24,-71.08
02169,5b,42.26,-71
02170,5b,42.26,-71
02171,5b,42.26,-71
02188,5b,42.2,-70.94
02189,5b,42.2,-70.94
02190,5b,42.2,-70.94
02191,5b,42.2,-70.94
01718,5b,42.51,-71.41
01719,5b,42.5,-71.5
01720,5b,42.48,-71.46
02474,5b,42.41,-71.16
02476,5b,42.41,-71.16
02150,5b,42.39,-71.03
02149,5b,42.4,-71.05
02152,5b,42.37,-70.98
02151,5b,42.41,-70.99
02148,5b,42.43,-71.05
02176,5b,42.45,-71.05
02155,5b,42.42,-71.1
02143,5b,42.39,-71.1
02144,5b,42.39,-71.1
02145,5b,42.39,-71.1
02180,5b,42.47,-71.09
01913,5b,42.85,-70.92
01810,5b,42.65,-71.14
02054,5b,42.16,-71.35
01529,5b,42.03,-71.58
02554,6a,41.27,-70.1
01760,5b,42.28,-71.35
01531,5b,42.31,-72.13
01950,5b,42.81,-70.88
01951,5b,42.8,-71
01952,5b,42.83,-70.84
02056,5b,42.11,-71.31
02351,5b,42.11,-70.95
01862,5b,42.57,-71.29
01532,5b,42.31,-71.64
01534,5b,42.15,-71.65
01535,5b,42.27,-72.08
02650,5b,41.7,-69.95
01863,5b,42.63,-71.39
02356,5b,42.05,-71.1
02556,5b,41.64,-70.63
01536,5b,42.23,-71.69
01537,5b,42.16,-71.88
01864,5b,42.56,-71.06
01430,5b,42.63,-71.9
01431,5b,42.68,-71.81
01721,5b,42.25,-71.46
01501,5b,42.2,-71.83
02322,5b,42.11,-71.03
01432,5b,42.56,-71.58
01434,5b,42.53,-71.61
01436,5b,42.6,-72.07
02630,5b,41.7,-70.3
01730,5b,42.48,-71.26
01731,5b,42.46,-71.28
02019,5b,42.09,-71.47
01503,5b,42.38,-71.63
01915,5b,42.55,-70.84
01821,5b,42.55,-71.26
01504,5b,42.01,-71.5
01740,5b,42.43,-71.6
02108,5b,42.35,-71.06
02109,5b,42.35,-71.06
02110,5b,42.35,-71.06
02111,5b,42.35,-71.06
02113,5b,42.35,-71.06
02114,5b,42.35,-71.06
02115,5b,42.35,-71.06
02116,5b,42.35,-71.06
02118,5b,42.35,-71.06
02119,5b,42.35,-71.06
02120,5b,42.35,-71.06
02121,5b,42.35,-71.06
02122,5b,42.35,-71.06
02124,5b,42.35,-71.06
02125,5b,42.35,-71.06
02126,5b,42.26,-71.1
02127,5b,42.35,-71.06
02128,5b,42.35,-71.06
02129,5b,42.38,-71.06
02130,5b,42.3,-71.11
02131,5b,42.28,-71.13
02132,5b,42.28,-71.16
02133,5b,42.35,-71.06
02134,5b,42.35,-71.13
02135,5b,42.35,-71.15
02136,5b,42.26,-71.11
02163,5b,42.35,-71.06
02199,5b,42.35,-71.06
02203,5b,42.35,-71.06
02210,5b,42.35,-71.06
02215,5b,42.35,-71.06
02222,5b,42.35,-71.06
02283,5b,42.35,-71.06
02284,5b,42.35,-71.06
01921,5b,42.67,-70.98
01505,5b,42.35,-71.73
02631,5b,41.76,-70.08
02324,5b,41.98,-70.97
02301,5b,42.08,-71.02
02302,5b,42.08,-71.02
01506,5b,42.21,-72.1
01803,5b,42.5,-71.2
02532,5b,41.75,-70.61
02542,5b,41.75,-70.61
01922,5b,42.75,-70.93
02138,5b,42.37,-71.11
02139,5b,42.37,-71.11
02140,5b,42.37,-71.11
02141,5b,42.37,-71.11
02142,5b,42.37,-71.11
02021,5b,42.15,-71.13
01741,5b,42.53,-71.35
02330,5b,41.88,-70.76
02632,5b,41.66,-70.34
01507,5b,42.13,-71.96
02633,5b,41.67,-69.96
01824,5b,42.59,-71.36
02535,6a,41.34,-70.74
01510,5b,42.41,-71.68
02025,5b,42.23,-70.8
01742,5b,42.45,-71.35
02635,5b,41.62,-70.44
02061,5b,42.16,-70.78
02062,5b,42.18,-71.19
02557,6a,41.45,-70.56
02653,5b,41.79,-70
02655,5b,41.62,-70.38
01540,5b,42.11,-71.87
01960,5b,42.53,-70.97
02359,5b,42.06,-70.8
01463,5b,42.66,-71.58
02360,5b,41.95,-70.66
02367,5b,41.95,-70.81
02559,5b,41.69,-70.63
01541,5b,42.45,-71.86
02657,5b,42.06,-70.2
02368,5b,42.17,-71.05
01867,5b,42.53,-71.1
01542,5b,42.2,-71.9
02370,5b,42.13,-70.91
01966,5b,42.64,-70.61
01969,5b,42.71,-70.87
01543,5b,42.36,-71.95
02562,5b,41.79,-70.53
01970,5b,42.51,-70.9
02563,5b,41.75,-70.49
02066,5b,42.18,-70.73
02067,5b,42.11,-71.18
01770,5b,42.23,-71.36
01464,5b,42.54,-71.65
01545,5b,42.3,-71.71
01745,5b,42.29,-71.5
01772,5b,42.3,-71.51
01550,5b,42.08,-72.03
02659,5b,41.68,-70.02
02660,5b,41.7,-70.15
02375,5b,42.03,-71.1
01560,5b,42.17,-71.68
01982,5b,42.62,-70.86
02071,5b,42.09,-71.27
02664,5b,41.67,-70.2
02673,5b,41.65,-70.24
01562,5b,42.24,-71.99
01564,5b,42.43,-71.75
02072,5b,42.11,-71.1
01775,5b,42.43,-71.5
01518,5b,42.12,-72.11
01566,5b,42.09,-72.06
01776,5b,42.36,-71.4
01590,5b,42.15,-71.76
01468,5b,42.55,-72.06
01876,5b,42.61,-71.23
01983,5b,42.63,-70.95
01469,5b,42.66,-71.7
01474,5b,42.66,-71.74
01879,5b,42.68,-71.41
01569,5b,42.08,-71.6
02568,6a,41.45,-70.6
01880,5b,42.5,-71.06
02081,5b,42.13,-71.24
02571,5b,41.76,-70.71
01778,5b,42.36,-71.36
01570,5b,42.04,-71.87
01571,5b,42.05,-71.93
02667,5b,41.93,-70.03
01923,5b,42.57,-70.95
02026,5b,42.24,-71.17
02638,5b,41.73,-70.2
02639,5b,41.66,-70.13
02030,5b,42.24,-71.27
01826,5b,42.66,-71.3
01827,5b,42.66,-71.48
02332,5b,42.04,-70.67
02333,5b,42.03,-70.95
01515,5b,42.22,-72.04
01516,5b,42.05,-71.73
02536,5b,41.56,-70.55
02642,5b,41.83,-69.96
02537,5b,41.73,-70.43
02032,5b,42.15,-71.21
02538,5b,41.77,-70.64
02539,6a,41.38,-70.53
01929,5b,42.63,-70.77
02540,5b,41.56,-70.62
02543,5b,41.52,-70.66
01521,5b,42.05,-72.15
01420,5b,42.58,-71.81
02644,5b,41.68,-70.5
02035,5b,42.06,-71.24
01701,5b,42.3,-71.43
01702,5b,42.3,-71.43
02038,5b,42.08,-71.38
01440,5b,42.58,-71.98
01930,5b,42.62,-70.66
01519,5b,42.2,-71.68
